BLDG,UNIT,,Zone,"Location
Code",Unit Type,Unit Area,"Account
Status",FACING VIEW
P,1751,P-1751,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
P,1752,P-1752,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
P,1753,P-1753,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
P,1756,P-1756,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
P,1757,P-1757,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
P,1758,P-1758,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
P,1759,P-1759,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
P,1761,P-1761,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
P,1763,P-1763,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1147,Ǫ-1147,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1151,Ǫ-1151,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1153,Ǫ-1153,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1155,Ǫ-1155,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1156,Ǫ-1156,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1157,Ǫ-1157,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1158,Ǫ-1158,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1245,Ǫ-1245,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1246,Ǫ-1246,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1248,Ǫ-1248,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1252,Ǫ-1252,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1253,Ǫ-1253,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1255,Ǫ-1255,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1256,Ǫ-1256,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1257,Ǫ-1257,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1258,Ǫ-1258,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1259,Ǫ-1259,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1262,Ǫ-1262,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1263,Ǫ-1263,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1445,Ǫ-1445,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1447,Ǫ-1447,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1448,Ǫ-1448,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1450,Ǫ-1450,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1453,Ǫ-1453,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1455,Ǫ-1455,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1456,Ǫ-1456,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1457,Ǫ-1457,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1458,Ǫ-1458,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1459,Ǫ-1459,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1463,Ǫ-1463,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1464,Ǫ-1464,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1544,Ǫ-1544,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1545,Ǫ-1545,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1546,Ǫ-1546,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1547,Ǫ-1547,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1550,Ǫ-1550,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1553,Ǫ-1553,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1555,Ǫ-1555,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1556,Ǫ-1556,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1557,Ǫ-1557,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1558,Ǫ-1558,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1559,Ǫ-1559,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1561,Ǫ-1561,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1646,Ǫ-1646,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1647,Ǫ-1647,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1648,Ǫ-1648,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1650,Ǫ-1650,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1652,Ǫ-1652,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1655,Ǫ-1655,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1656,Ǫ-1656,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1657,Ǫ-1657,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1658,Ǫ-1658,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1659,Ǫ-1659,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1661,Ǫ-1661,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
Ǫ,1663,Ǫ-1663,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
R,1448,R-1448,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
R,1546,R-1546,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
R,1547,R-1547,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
R,1557,R-1557,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
R,1645,R-1645,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
R,1647,R-1647,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
R,1656,R-1656,HIGH,Inner,2BR-B,30.6,Fresh,INNER BLDG
